
Host: G5

Timers On : Mon Jun  3 21:13:00 2024
Timers Off: Mon Jun  3 21:13:20 2024

Wall Time:       19.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| SAD Guess                         :      0.000u      0.000s      0.770w     20 calls
HF: Form G                          :      0.000u      0.000s      0.073w    348 calls
| JK: D                             :      0.000u      0.000s      0.002w    348 calls
| JK: USO2AO                        :      0.000u      0.000s      0.006w    348 calls
| JK: JK                            :      0.000u      0.000s      0.057w    348 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.056w    348 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    348 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.015w    348 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.034w    348 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    348 calls
HF: Form F                          :      0.000u      0.000s      0.003w    348 calls
HF: Form D                          :      0.000u      0.000s      0.002w    348 calls
HF: DIIS                            :      0.000u      0.000s      1.807w    328 calls
HF: Form C                          :      0.000u      0.000s      0.158w    328 calls

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:17:13 2024
Timers Off: Wed Jun  5 20:17:14 2024

Wall Time:        0.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:17:16 2024
Timers Off: Wed Jun  5 20:17:17 2024

Wall Time:        0.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:17:19 2024
Timers Off: Wed Jun  5 20:17:20 2024

Wall Time:        0.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:17:23 2024
Timers Off: Wed Jun  5 20:17:24 2024

Wall Time:        0.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:17:26 2024
Timers Off: Wed Jun  5 20:17:27 2024

Wall Time:        0.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:17:29 2024
Timers Off: Wed Jun  5 20:17:44 2024

Wall Time:       15.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.044w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.041w     60 calls
DFH: initialize()                   :      0.000u      0.000s      0.950w     20 calls
DFH: AO Construction                :      0.000u      0.000s      0.085w     20 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.012w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.463w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     20 calls
HF: Guess                           :      0.000u      0.000s      0.981w     20 calls
SAD Guess                           :      0.000u      0.000s      0.959w     20 calls
HF: Form G                          :      0.000u      0.000s      0.059w    272 calls
JK: D                               :      0.000u      0.000s      0.002w    272 calls
JK: USO2AO                          :      0.000u      0.000s      0.005w    272 calls
JK: JK                              :      0.000u      0.000s      0.046w    272 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.045w    272 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    272 calls
DFH: compute_J                      :      0.000u      0.000s      0.012w    272 calls
DFH: compute_K                      :      0.000u      0.000s      0.027w    272 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    272 calls
HF: Form F                          :      0.000u      0.000s      0.002w    272 calls
HF: Form D                          :      0.000u      0.000s      0.002w    272 calls
HF: DIIS                            :      0.000u      0.000s      1.260w    252 calls
HF: Form C                          :      0.000u      0.000s      0.125w    252 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.044w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.019w     20 calls
DFH: initialize()                   :      0.000u      0.000s      0.950w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.022w     40 calls
| DFH: AO Construction              :      0.000u      0.000s      0.085w     20 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.012w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.463w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     20 calls
HF: Guess                           :      0.000u      0.000s      0.981w     20 calls
| SAD Guess                         :      0.000u      0.000s      0.959w     20 calls
HF: Form G                          :      0.000u      0.000s      0.059w    272 calls
| JK: D                             :      0.000u      0.000s      0.002w    272 calls
| JK: USO2AO                        :      0.000u      0.000s      0.005w    272 calls
| JK: JK                            :      0.000u      0.000s      0.046w    272 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.045w    272 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    272 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.012w    272 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.027w    272 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    272 calls
HF: Form F                          :      0.000u      0.000s      0.002w    272 calls
HF: Form D                          :      0.000u      0.000s      0.002w    272 calls
HF: DIIS                            :      0.000u      0.000s      1.260w    252 calls
HF: Form C                          :      0.000u      0.000s      0.125w    252 calls

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:17:46 2024
Timers Off: Wed Jun  5 20:17:47 2024

Wall Time:        0.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:17:49 2024
Timers Off: Wed Jun  5 20:17:50 2024

Wall Time:        1.04 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:19:27 2024
Timers Off: Wed Jun  5 20:19:28 2024

Wall Time:        1.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:19:36 2024
Timers Off: Wed Jun  5 20:19:37 2024

Wall Time:        0.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:19:45 2024
Timers Off: Wed Jun  5 20:19:46 2024

Wall Time:        0.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:22:47 2024
Timers Off: Wed Jun  5 20:23:04 2024

Wall Time:       16.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.085w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.079w     60 calls
DFH: initialize()                   :      0.000u      0.000s      1.081w     20 calls
DFH: AO Construction                :      0.000u      0.000s      0.101w     20 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.015w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.062w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.006w     20 calls
HF: Guess                           :      0.000u      0.000s      0.940w     20 calls
SAD Guess                           :      0.000u      0.000s      0.896w     20 calls
HF: Form G                          :      0.000u      0.000s      0.068w    272 calls
JK: D                               :      0.000u      0.000s      0.002w    272 calls
JK: USO2AO                          :      0.000u      0.000s      0.006w    272 calls
JK: JK                              :      0.000u      0.000s      0.052w    272 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.051w    272 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    272 calls
DFH: compute_J                      :      0.000u      0.000s      0.014w    272 calls
DFH: compute_K                      :      0.000u      0.000s      0.031w    272 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    272 calls
HF: Form F                          :      0.000u      0.000s      0.004w    272 calls
HF: Form D                          :      0.000u      0.000s      0.002w    272 calls
HF: DIIS                            :      0.000u      0.000s      1.434w    252 calls
HF: Form C                          :      0.000u      0.000s      0.133w    252 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.085w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.057w     20 calls
DFH: initialize()                   :      0.000u      0.000s      1.081w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.022w     40 calls
| DFH: AO Construction              :      0.000u      0.000s      0.101w     20 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.015w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.062w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.006w     20 calls
HF: Guess                           :      0.000u      0.000s      0.940w     20 calls
| SAD Guess                         :      0.000u      0.000s      0.896w     20 calls
HF: Form G                          :      0.000u      0.000s      0.068w    272 calls
| JK: D                             :      0.000u      0.000s      0.002w    272 calls
| JK: USO2AO                        :      0.000u      0.000s      0.006w    272 calls
| JK: JK                            :      0.000u      0.000s      0.052w    272 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.051w    272 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    272 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.014w    272 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.031w    272 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    272 calls
HF: Form F                          :      0.000u      0.000s      0.004w    272 calls
HF: Form D                          :      0.000u      0.000s      0.002w    272 calls
HF: DIIS                            :      0.000u      0.000s      1.434w    252 calls
HF: Form C                          :      0.000u      0.000s      0.133w    252 calls

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:32:48 2024
Timers Off: Wed Jun  5 20:33:02 2024

Wall Time:       13.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.059w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.053w     60 calls
DFH: initialize()                   :      0.000u      0.000s      0.822w     20 calls
DFH: AO Construction                :      0.000u      0.000s      0.078w     20 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.011w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.250w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     20 calls
HF: Guess                           :      0.000u      0.000s      0.951w     20 calls
SAD Guess                           :      0.000u      0.000s      0.927w     20 calls
HF: Form G                          :      0.000u      0.000s      0.034w    148 calls
JK: D                               :      0.000u      0.000s      0.001w    148 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w    148 calls
JK: JK                              :      0.000u      0.000s      0.026w    148 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.025w    148 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    148 calls
DFH: compute_J                      :      0.000u      0.000s      0.007w    148 calls
DFH: compute_K                      :      0.000u      0.000s      0.015w    148 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    148 calls
HF: Form F                          :      0.000u      0.000s      0.001w    148 calls
HF: Form D                          :      0.000u      0.000s      0.001w    148 calls
HF: DIIS                            :      0.000u      0.000s      0.589w    128 calls
HF: Form C                          :      0.000u      0.000s      0.060w    128 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.059w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.035w     20 calls
DFH: initialize()                   :      0.000u      0.000s      0.822w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.018w     40 calls
| DFH: AO Construction              :      0.000u      0.000s      0.078w     20 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.011w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.250w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     20 calls
HF: Guess                           :      0.000u      0.000s      0.951w     20 calls
| SAD Guess                         :      0.000u      0.000s      0.927w     20 calls
HF: Form G                          :      0.000u      0.000s      0.034w    148 calls
| JK: D                             :      0.000u      0.000s      0.001w    148 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w    148 calls
| JK: JK                            :      0.000u      0.000s      0.026w    148 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.025w    148 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    148 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.007w    148 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.015w    148 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    148 calls
HF: Form F                          :      0.000u      0.000s      0.001w    148 calls
HF: Form D                          :      0.000u      0.000s      0.001w    148 calls
HF: DIIS                            :      0.000u      0.000s      0.589w    128 calls
HF: Form C                          :      0.000u      0.000s      0.060w    128 calls

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:33:06 2024
Timers Off: Wed Jun  5 20:33:19 2024

Wall Time:       13.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.049w     15 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.046w     45 calls
DFH: initialize()                   :      0.000u      0.000s      0.552w     15 calls
DFH: AO Construction                :      0.000u      0.000s      0.064w     15 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.010w     15 calls
HF: Form core H                     :      0.000u      0.000s      0.184w     15 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     15 calls
HF: Guess                           :      0.000u      0.000s      0.682w     15 calls
SAD Guess                           :      0.000u      0.000s      0.666w     15 calls
HF: Form G                          :      0.000u      0.000s      0.057w    275 calls
JK: D                               :      0.000u      0.000s      0.002w    275 calls
JK: USO2AO                          :      0.000u      0.000s      0.004w    275 calls
JK: JK                              :      0.000u      0.000s      0.045w    275 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.044w    275 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    275 calls
DFH: compute_J                      :      0.000u      0.000s      0.012w    275 calls
DFH: compute_K                      :      0.000u      0.000s      0.027w    275 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    275 calls
HF: Form F                          :      0.000u      0.000s      0.002w    275 calls
HF: Form D                          :      0.000u      0.000s      0.002w    275 calls
HF: DIIS                            :      0.000u      0.000s      1.482w    260 calls
HF: Form C                          :      0.000u      0.000s      0.118w    260 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.049w     15 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.032w     15 calls
DFH: initialize()                   :      0.000u      0.000s      0.552w     15 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w     30 calls
| DFH: AO Construction              :      0.000u      0.000s      0.064w     15 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.010w     15 calls
HF: Form core H                     :      0.000u      0.000s      0.184w     15 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     15 calls
HF: Guess                           :      0.000u      0.000s      0.682w     15 calls
| SAD Guess                         :      0.000u      0.000s      0.666w     15 calls
HF: Form G                          :      0.000u      0.000s      0.057w    275 calls
| JK: D                             :      0.000u      0.000s      0.002w    275 calls
| JK: USO2AO                        :      0.000u      0.000s      0.004w    275 calls
| JK: JK                            :      0.000u      0.000s      0.045w    275 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.044w    275 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    275 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.012w    275 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.027w    275 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    275 calls
HF: Form F                          :      0.000u      0.000s      0.002w    275 calls
HF: Form D                          :      0.000u      0.000s      0.002w    275 calls
HF: DIIS                            :      0.000u      0.000s      1.482w    260 calls
HF: Form C                          :      0.000u      0.000s      0.118w    260 calls

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:33:21 2024
Timers Off: Wed Jun  5 20:33:37 2024

Wall Time:       15.25 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.036w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.034w     60 calls
DFH: initialize()                   :      0.000u      0.000s      0.657w     20 calls
DFH: AO Construction                :      0.000u      0.000s      0.080w     20 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.011w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.130w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     20 calls
HF: Guess                           :      0.000u      0.000s      0.911w     20 calls
SAD Guess                           :      0.000u      0.000s      0.890w     20 calls
HF: Form G                          :      0.000u      0.000s      0.080w    423 calls
JK: D                               :      0.000u      0.000s      0.002w    423 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    423 calls
JK: JK                              :      0.000u      0.000s      0.071w    423 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.070w    423 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    423 calls
DFH: compute_J                      :      0.000u      0.000s      0.018w    423 calls
DFH: compute_K                      :      0.000u      0.000s      0.042w    423 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    423 calls
HF: Form F                          :      0.000u      0.000s      0.004w    423 calls
HF: Form D                          :      0.000u      0.000s      0.003w    423 calls
HF: DIIS                            :      0.000u      0.000s      2.062w    403 calls
HF: Form C                          :      0.000u      0.000s      0.193w    403 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.036w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.014w     20 calls
DFH: initialize()                   :      0.000u      0.000s      0.657w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.020w     40 calls
| DFH: AO Construction              :      0.000u      0.000s      0.080w     20 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.011w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.130w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     20 calls
HF: Guess                           :      0.000u      0.000s      0.911w     20 calls
| SAD Guess                         :      0.000u      0.000s      0.890w     20 calls
HF: Form G                          :      0.000u      0.000s      0.080w    423 calls
| JK: D                             :      0.000u      0.000s      0.002w    423 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    423 calls
| JK: JK                            :      0.000u      0.000s      0.071w    423 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.070w    423 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    423 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.018w    423 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.042w    423 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    423 calls
HF: Form F                          :      0.000u      0.000s      0.004w    423 calls
HF: Form D                          :      0.000u      0.000s      0.003w    423 calls
HF: DIIS                            :      0.000u      0.000s      2.062w    403 calls
HF: Form C                          :      0.000u      0.000s      0.193w    403 calls

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:33:39 2024
Timers Off: Wed Jun  5 20:33:52 2024

Wall Time:       12.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.035w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.031w     60 calls
DFH: initialize()                   :      0.000u      0.000s      0.591w     20 calls
DFH: AO Construction                :      0.000u      0.000s      0.074w     20 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.011w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.296w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     20 calls
HF: Guess                           :      0.000u      0.000s      0.901w     20 calls
SAD Guess                           :      0.000u      0.000s      0.882w     20 calls
HF: Form G                          :      0.000u      0.000s      0.031w    147 calls
JK: D                               :      0.000u      0.000s      0.001w    147 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    147 calls
JK: JK                              :      0.000u      0.000s      0.025w    147 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.024w    147 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    147 calls
DFH: compute_J                      :      0.000u      0.000s      0.006w    147 calls
DFH: compute_K                      :      0.000u      0.000s      0.014w    147 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    147 calls
HF: Form F                          :      0.000u      0.000s      0.001w    147 calls
HF: Form D                          :      0.000u      0.000s      0.001w    147 calls
HF: DIIS                            :      0.000u      0.000s      0.600w    127 calls
HF: Form C                          :      0.000u      0.000s      0.059w    127 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.035w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.013w     20 calls
DFH: initialize()                   :      0.000u      0.000s      0.591w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.018w     40 calls
| DFH: AO Construction              :      0.000u      0.000s      0.074w     20 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.011w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.296w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     20 calls
HF: Guess                           :      0.000u      0.000s      0.901w     20 calls
| SAD Guess                         :      0.000u      0.000s      0.882w     20 calls
HF: Form G                          :      0.000u      0.000s      0.031w    147 calls
| JK: D                             :      0.000u      0.000s      0.001w    147 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w    147 calls
| JK: JK                            :      0.000u      0.000s      0.025w    147 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.024w    147 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    147 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.006w    147 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.014w    147 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    147 calls
HF: Form F                          :      0.000u      0.000s      0.001w    147 calls
HF: Form D                          :      0.000u      0.000s      0.001w    147 calls
HF: DIIS                            :      0.000u      0.000s      0.600w    127 calls
HF: Form C                          :      0.000u      0.000s      0.059w    127 calls

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:33:54 2024
Timers Off: Wed Jun  5 20:34:10 2024

Wall Time:       15.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.045w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.041w     60 calls
DFH: initialize()                   :      0.000u      0.000s      0.709w     20 calls
DFH: AO Construction                :      0.000u      0.000s      0.088w     20 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.012w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.149w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     20 calls
HF: Guess                           :      0.000u      0.000s      0.951w     20 calls
SAD Guess                           :      0.000u      0.000s      0.930w     20 calls
HF: Form G                          :      0.000u      0.000s      0.072w    335 calls
JK: D                               :      0.000u      0.000s      0.003w    335 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    335 calls
JK: JK                              :      0.000u      0.000s      0.063w    335 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.062w    335 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    335 calls
DFH: compute_J                      :      0.000u      0.000s      0.017w    335 calls
DFH: compute_K                      :      0.000u      0.000s      0.038w    335 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    335 calls
HF: Form F                          :      0.000u      0.000s      0.003w    335 calls
HF: Form D                          :      0.000u      0.000s      0.002w    335 calls
HF: DIIS                            :      0.000u      0.000s      1.641w    315 calls
HF: Form C                          :      0.000u      0.000s      0.168w    315 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.045w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.017w     20 calls
DFH: initialize()                   :      0.000u      0.000s      0.709w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.024w     40 calls
| DFH: AO Construction              :      0.000u      0.000s      0.088w     20 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.012w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.149w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     20 calls
HF: Guess                           :      0.000u      0.000s      0.951w     20 calls
| SAD Guess                         :      0.000u      0.000s      0.930w     20 calls
HF: Form G                          :      0.000u      0.000s      0.072w    335 calls
| JK: D                             :      0.000u      0.000s      0.003w    335 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    335 calls
| JK: JK                            :      0.000u      0.000s      0.063w    335 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.062w    335 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    335 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.017w    335 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.038w    335 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    335 calls
HF: Form F                          :      0.000u      0.000s      0.003w    335 calls
HF: Form D                          :      0.000u      0.000s      0.002w    335 calls
HF: DIIS                            :      0.000u      0.000s      1.641w    315 calls
HF: Form C                          :      0.000u      0.000s      0.168w    315 calls

**************************************************************************************

Host: G5

Timers On : Wed Jun  5 20:34:12 2024
Timers Off: Wed Jun  5 20:34:26 2024

Wall Time:       13.71 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.037w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.034w     60 calls
DFH: initialize()                   :      0.000u      0.000s      0.736w     20 calls
DFH: AO Construction                :      0.000u      0.000s      0.080w     20 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.011w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.103w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     20 calls
HF: Guess                           :      0.000u      0.000s      0.770w     20 calls
SAD Guess                           :      0.000u      0.000s      0.750w     20 calls
HF: Form G                          :      0.000u      0.000s      0.058w    272 calls
JK: D                               :      0.000u      0.000s      0.002w    272 calls
JK: USO2AO                          :      0.000u      0.000s      0.005w    272 calls
JK: JK                              :      0.000u      0.000s      0.045w    272 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.045w    272 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    272 calls
DFH: compute_J                      :      0.000u      0.000s      0.012w    272 calls
DFH: compute_K                      :      0.000u      0.000s      0.027w    272 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    272 calls
HF: Form F                          :      0.000u      0.000s      0.002w    272 calls
HF: Form D                          :      0.000u      0.000s      0.002w    272 calls
HF: DIIS                            :      0.000u      0.000s      1.265w    252 calls
HF: Form C                          :      0.000u      0.000s      0.117w    252 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.037w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w     20 calls
DFH: initialize()                   :      0.000u      0.000s      0.736w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.020w     40 calls
| DFH: AO Construction              :      0.000u      0.000s      0.080w     20 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.011w     20 calls
